id,name,mime_type,parent_id,size,created_time,modified_time,owner_email,starred,trashed,web_view_link
fil_budget_2026,Deep_Roots_Budget_2026.gsheet,application/vnd.google-apps.spreadsheet,fld_budget_docs,48211,2026-09-22T10:00:00Z,2026-10-04T16:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_budget_2026/view
fil_harvest_plan,Harvest_Day_Oct17_Planning.gsheet,application/vnd.google-apps.spreadsheet,fld_community_data,32104,2026-09-12T10:00:00Z,2026-10-01T18:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_harvest_plan/view
fil_trial_plot,Trial_Plot_Data_2026.gsheet,application/vnd.google-apps.spreadsheet,fld_field_data,56488,2026-04-01T08:00:00Z,2026-09-28T17:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_trial_plot/view
fil_soil_analysis,Soil_Analysis_Piedmont_2026.gsheet,application/vnd.google-apps.spreadsheet,fld_field_data,21044,2026-09-28T11:00:00Z,2026-09-28T11:05:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_soil_analysis/view
fil_curriculum,Workshop_Curriculum_Modules.gsheet,application/vnd.google-apps.spreadsheet,fld_community_data,28966,2026-09-08T14:00:00Z,2026-09-29T17:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_curriculum/view
fil_materials,Workshop_Materials_Pricing.gsheet,application/vnd.google-apps.spreadsheet,fld_budget_docs,18802,2026-09-10T10:00:00Z,2026-09-25T15:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_materials/view
fil_narrative_v3,Deep_Roots_Narrative_V3.gdoc,application/vnd.google-apps.document,fld_narrative_drafts,84221,2026-09-20T10:00:00Z,2026-09-20T17:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_narrative_v3/view
fil_narrative_v4,Deep_Roots_Narrative_V4.gdoc,application/vnd.google-apps.document,fld_narrative_drafts,98454,2026-09-26T11:00:00Z,2026-09-26T17:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_narrative_v4/view
fil_narrative_v5,Deep_Roots_Narrative_V5.gdoc,application/vnd.google-apps.document,fld_narrative_drafts,103299,2026-10-02T14:00:00Z,2026-10-02T17:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_narrative_v5/view
fil_guidelines_pdf,Fieldstone_Foundation_Grant_Guidelines_2026.pdf,application/pdf,fld_appendices,512840,2026-09-15T09:00:00Z,2026-09-15T09:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_guidelines_pdf/view
fil_lab_pdf,NC_Ag_Lab_Report_Sep2026.pdf,application/pdf,fld_field_data,184992,2026-09-28T11:00:00Z,2026-09-28T11:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_lab_pdf/view
fil_field_notebook_aug,Field_Notebook_Aug2026.gdoc,application/vnd.google-apps.document,fld_field_data,43021,2026-08-01T08:00:00Z,2026-08-31T17:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_field_notebook_aug/view
fil_field_notebook_sep,Field_Notebook_Sep2026.gdoc,application/vnd.google-apps.document,fld_field_data,51208,2026-09-01T08:00:00Z,2026-09-30T17:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_field_notebook_sep/view
fil_extension_q3,Extension_Report_Q3_2026.gdoc,application/vnd.google-apps.document,fld_extension_reports,38450,2026-09-25T10:00:00Z,2026-09-30T17:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_extension_q3/view
fil_water_rights_brief,Water_Rights_Background.gdoc,application/vnd.google-apps.document,fld_extension_reports,29110,2026-07-12T10:00:00Z,2026-09-20T17:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_water_rights_brief/view
fil_herbal_notes_master,Herbalism_Master_Notes.gdoc,application/vnd.google-apps.document,fld_herbalism_notes,72980,2024-09-01T08:00:00Z,2026-09-22T17:00:00Z,gloria.wiggins@voissync.ai,False,False,https://drive.google.com/file/d/fil_herbal_notes_master/view
