shift_date	contributor	amount_usd	meal	cook	notes
2026-10-12	Indira Hudson	15	smoked pulled pork + Carolina gold	Indira	Crew favorite
2026-10-12	Eddie Vasquez	15	—	Indira	—
2026-10-12	J. Martinez	15	—	Indira	—
2026-10-12	R. Pham	15	—	Indira	—
2026-10-16	Indira Hudson	15	jambalaya	Indira	—
2026-10-16	Eddie Vasquez	15	—	Indira	—
2026-10-16	J. Martinez	15	—	Indira	—
2026-10-16	R. Pham	15	—	Indira	—
2026-10-20	Indira Hudson	15	chicken tikka masala	Indira	Mom's recipe variant
2026-10-20	Eddie Vasquez	15	—	Indira	—
2026-10-24	Indira Hudson	15	chili from scratch	Indira	—
