id,parent_type,parent_id,title,created_time,last_edited_time,created_by,archived,icon,cover_url
pg_dac_home,workspace,ws_dac_env,DAC Environmental Services — home,2024-03-01T09:10:00-07:00,2026-09-30T16:12:00-06:00,user_ian,False,🏞️,
pg_dac_sop_monthly,database,db_dac_sops,SOP — monthly grab sampling (v4),2026-08-12T13:42:00-06:00,2026-09-04T09:18:00-06:00,user_ian,False,📄,
pg_dac_sop_coc,database,db_dac_sops,SOP — chain-of-custody handling,2026-08-12T13:45:00-06:00,2026-08-12T13:45:00-06:00,user_ian,False,📄,
pg_leather_home,workspace,ws_salazar_leather,Salazar Leathercraft — home,2025-01-12T19:05:00-07:00,2026-10-12T20:14:00-06:00,user_ian,False,🧶,
pg_leather_inventory_main,database,db_leather_inventory,Materials — full-grain vegtan,2025-01-13T08:05:00-07:00,2026-10-12T20:14:00-06:00,user_ian,False,🐂,
pg_clearwater_grant,workspace,ws_dac_env,Clearwater Environmental Trust Grant — 2026 cohort,2026-01-06T09:00:00-07:00,2026-10-14T11:20:00-06:00,user_ian,False,💧,
pg_leather_commissions,workspace,ws_salazar_leather,Leathercraft - commission log,2026-08-01T09:00:00.000Z,2026-10-19T09:00:00.000Z,user_marco,False,scroll,
pg_clearwater_budget_workbook,page,pg_clearwater_grant,Clearwater grant - Y1 budget workbook (v3),2026-10-05T09:00:00.000Z,2026-10-19T09:00:00.000Z,user_ian,False,bar_chart,
pg_gen_000001,workspace,ws_dac_env,DAC Environmental Services — home,2024-03-01T09:10:00-07:00,2026-09-30T16:12:00-06:00,user_ian,False,🏞️,
pg_gen_000002,database,db_dac_sops,SOP — monthly grab sampling (v4),2026-08-12T13:42:00-06:00,2026-09-04T09:18:00-06:00,user_ian,False,📄,
pg_gen_000003,database,db_dac_sops,SOP — chain-of-custody handling,2026-08-12T13:45:00-06:00,2026-08-12T13:45:00-06:00,user_ian,False,📄,
pg_gen_000004,workspace,ws_salazar_leather,Salazar Leathercraft — home,2025-01-12T19:05:00-07:00,2026-10-12T20:14:00-06:00,user_ian,False,🧶,
pg_gen_000005,database,db_leather_inventory,Materials — full-grain vegtan,2025-01-13T08:05:00-07:00,2026-10-12T20:14:00-06:00,user_ian,False,🐂,
pg_gen_000006,workspace,ws_dac_env,Clearwater Environmental Trust Grant — 2026 cohort,2026-01-06T09:00:00-07:00,2026-10-14T11:20:00-06:00,user_ian,False,💧,
pg_gen_000007,workspace,ws_salazar_leather,Leathercraft - commission log,2026-08-01T09:00:00.000Z,2026-10-19T09:00:00.000Z,user_marco,False,scroll,
pg_gen_000008,page,pg_clearwater_grant,Clearwater grant - Y1 budget workbook (v3),2026-10-05T09:00:00.000Z,2026-10-19T09:00:00.000Z,user_ian,False,bar_chart,
pg_gen_000009,workspace,ws_dac_env,DAC Environmental Services — home,2024-03-01T09:10:00-07:00,2026-09-30T16:12:00-06:00,user_ian,False,🏞️,
pg_gen_000010,database,db_dac_sops,SOP — monthly grab sampling (v4),2026-08-12T13:42:00-06:00,2026-09-04T09:18:00-06:00,user_ian,False,📄,
pg_gen_000011,database,db_dac_sops,SOP — chain-of-custody handling,2026-08-12T13:45:00-06:00,2026-08-12T13:45:00-06:00,user_ian,False,📄,
pg_gen_000012,workspace,ws_salazar_leather,Salazar Leathercraft — home,2025-01-12T19:05:00-07:00,2026-10-12T20:14:00-06:00,user_ian,False,🧶,
pg_gen_000013,database,db_leather_inventory,Materials — full-grain vegtan,2025-01-13T08:05:00-07:00,2026-10-12T20:14:00-06:00,user_ian,False,🐂,
pg_gen_000014,workspace,ws_dac_env,Clearwater Environmental Trust Grant — 2026 cohort,2026-01-06T09:00:00-07:00,2026-10-14T11:20:00-06:00,user_ian,False,💧,
pg_gen_000015,workspace,ws_salazar_leather,Leathercraft - commission log,2026-08-01T09:00:00.000Z,2026-10-19T09:00:00.000Z,user_marco,False,scroll,
pg_gen_000016,page,pg_clearwater_grant,Clearwater grant - Y1 budget workbook (v3),2026-10-05T09:00:00.000Z,2026-10-19T09:00:00.000Z,user_ian,False,bar_chart,
pg_gen_000017,workspace,ws_dac_env,DAC Environmental Services — home,2024-03-01T09:10:00-07:00,2026-09-30T16:12:00-06:00,user_ian,False,🏞️,
pg_gen_000018,database,db_dac_sops,SOP — monthly grab sampling (v4),2026-08-12T13:42:00-06:00,2026-09-04T09:18:00-06:00,user_ian,False,📄,
pg_gen_000019,database,db_dac_sops,SOP — chain-of-custody handling,2026-08-12T13:45:00-06:00,2026-08-12T13:45:00-06:00,user_ian,False,📄,
pg_gen_000020,workspace,ws_salazar_leather,Salazar Leathercraft — home,2025-01-12T19:05:00-07:00,2026-10-12T20:14:00-06:00,user_ian,False,🧶,
pg_gen_000021,database,db_leather_inventory,Materials — full-grain vegtan,2025-01-13T08:05:00-07:00,2026-10-12T20:14:00-06:00,user_ian,False,🐂,
pg_gen_000022,workspace,ws_dac_env,Clearwater Environmental Trust Grant — 2026 cohort,2026-01-06T09:00:00-07:00,2026-10-14T11:20:00-06:00,user_ian,False,💧,
pg_gen_000023,workspace,ws_salazar_leather,Leathercraft - commission log,2026-08-01T09:00:00.000Z,2026-10-19T09:00:00.000Z,user_marco,False,scroll,
pg_gen_000024,page,pg_clearwater_grant,Clearwater grant - Y1 budget workbook (v3),2026-10-05T09:00:00.000Z,2026-10-19T09:00:00.000Z,user_ian,False,bar_chart,
pg_gen_000025,workspace,ws_dac_env,DAC Environmental Services — home,2024-03-01T09:10:00-07:00,2026-09-30T16:12:00-06:00,user_ian,False,🏞️,
pg_gen_000026,database,db_dac_sops,SOP — monthly grab sampling (v4),2026-08-12T13:42:00-06:00,2026-09-04T09:18:00-06:00,user_ian,False,📄,
pg_gen_000027,database,db_dac_sops,SOP — chain-of-custody handling,2026-08-12T13:45:00-06:00,2026-08-12T13:45:00-06:00,user_ian,False,📄,
pg_gen_000028,workspace,ws_salazar_leather,Salazar Leathercraft — home,2025-01-12T19:05:00-07:00,2026-10-12T20:14:00-06:00,user_ian,False,🧶,
pg_gen_000029,database,db_leather_inventory,Materials — full-grain vegtan,2025-01-13T08:05:00-07:00,2026-10-12T20:14:00-06:00,user_ian,False,🐂,
