id,name,real_name,email,is_admin,is_bot,tz,status_text,presence
U_ian,ian.salazar,Ian Salazar,ian.salazar@dac-env.gov,False,False,America/Denver,field — back at 17:00,active
U_olivera,samuel.olivera,Dr. Sam Olivera,samuel.olivera@example.org,True,False,America/Denver,,away
U_natalia,natalia.cordero,Natalia Cordero,natalia.cordero@dac-env.gov,False,False,America/Denver,,active
U_diego,diego.trujillo,Diego Trujillo,diego.trujillo@dac-env.gov,False,False,America/Denver,,active
U_gen_000001,ian.salazar,Ian Salazar,ian.salazar@dac-env.gov,False,False,America/Denver,field — back at 17:00,active
U_gen_000002,samuel.olivera,Dr. Sam Olivera,samuel.olivera@example.org,True,False,America/Denver,,away
U_gen_000003,natalia.cordero,Natalia Cordero,natalia.cordero@dac-env.gov,False,False,America/Denver,,active
U_gen_000004,diego.trujillo,Diego Trujillo,diego.trujillo@dac-env.gov,False,False,America/Denver,,active
U_gen_000005,ian.salazar,Ian Salazar,ian.salazar@dac-env.gov,False,False,America/Denver,field — back at 17:00,active
U_gen_000006,samuel.olivera,Dr. Sam Olivera,samuel.olivera@example.org,True,False,America/Denver,,away
U_gen_000007,natalia.cordero,Natalia Cordero,natalia.cordero@dac-env.gov,False,False,America/Denver,,active
U_gen_000008,diego.trujillo,Diego Trujillo,diego.trujillo@dac-env.gov,False,False,America/Denver,,active
U_gen_000009,ian.salazar,Ian Salazar,ian.salazar@dac-env.gov,False,False,America/Denver,field — back at 17:00,active
U_gen_000010,samuel.olivera,Dr. Sam Olivera,samuel.olivera@example.org,True,False,America/Denver,,away
U_gen_000011,natalia.cordero,Natalia Cordero,natalia.cordero@dac-env.gov,False,False,America/Denver,,active
U_gen_000012,diego.trujillo,Diego Trujillo,diego.trujillo@dac-env.gov,False,False,America/Denver,,active
U_gen_000013,ian.salazar,Ian Salazar,ian.salazar@dac-env.gov,False,False,America/Denver,field — back at 17:00,active
U_gen_000014,samuel.olivera,Dr. Sam Olivera,samuel.olivera@example.org,True,False,America/Denver,,away
U_gen_000015,natalia.cordero,Natalia Cordero,natalia.cordero@dac-env.gov,False,False,America/Denver,,active
