wa_id,profile_name,phone_number,opted_in,last_seen
15755556201,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755556208,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755556215,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755556236,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755556243,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550001,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550002,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550003,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550004,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550005,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550006,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550007,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550008,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550009,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550010,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550011,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550012,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550013,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550014,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550015,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550016,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550017,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550018,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550019,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550020,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550021,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550022,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550023,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550024,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550025,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550026,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550027,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550028,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550029,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550030,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550031,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550032,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550033,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550034,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550035,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550036,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550037,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550038,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550039,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550040,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550041,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550042,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550043,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550044,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550045,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550046,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550047,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550048,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550049,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550050,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550051,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550052,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550053,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550054,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550055,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550056,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550057,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550058,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550059,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550060,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550061,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550062,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550063,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550064,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550065,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550066,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550067,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550068,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550069,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550070,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550071,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550072,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550073,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550074,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550075,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550076,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550077,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550078,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550079,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550080,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550081,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550082,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550083,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
