message_id,conversation_id,direction,from_wa_id,to_wa_id,type,text,template_name,status,sent_at
wa_msg_001,conv_carmen,inbound,15755556201,15755556219,text,"Mijo, llámame cuando llegues a casa. Hay sopa.",,delivered,2026-10-19T18:32:00-06:00
wa_msg_002,conv_carmen,outbound,15755556219,15755556201,text,"Sí Mamá, en 15 minutos. Te quiero.",,sent,2026-10-19T18:35:00-06:00
wa_msg_003,conv_marco,inbound,15755556215,15755556219,text,Primo — voy a llevar el racks de cedro al booth el viernes. Confirmado.,,delivered,2026-10-19T11:48:00-06:00
wa_msg_004,conv_marco,outbound,15755556219,15755556215,text,Perfecto. Llego a las 14:00 a load-in. Trae la mesa también si puedes.,,sent,2026-10-19T11:52:00-06:00
wa_msg_005,conv_rosa,inbound,15755556208,15755556219,text,"Hermano, vienes para Día de los Muertos en casa de Mamá verdad?",,delivered,2026-10-18T20:14:00-06:00
wa_msg_006,conv_rosa,outbound,15755556219,15755556208,text,Claro. Llevo el pan de muerto. Dile a Mamá.,,sent,2026-10-18T20:18:00-06:00
wa_msg_007,conv_diego,inbound,15755556243,15755556219,text,Trays and buffer restocked for the upstream run. Truck's gassed.,,delivered,2026-10-19T17:25:00-06:00
wa_msg_008,conv_diego,outbound,15755556219,15755556243,text,Thanks Diego - meeting at the yard 5:45 Wed.,,read,2026-10-19T17:30:00-06:00
wa_msg_009,conv_sofia,inbound,15755556236,15755556219,text,Still good to bring the cedar racks to the booth Friday?,,delivered,2026-10-17T18:55:00-06:00
wa_msg_010,conv_sofia,outbound,15755556219,15755556236,text,"Yes - load-in Fri 2pm, booth E-14.",,read,2026-10-17T19:00:00-06:00
wa_msg_gen_000001,conv_carmen,inbound,15755556201,15755556219,text,On my way to the field site.,,delivered,2026-10-19T18:32:00-06:00
wa_msg_gen_000002,conv_carmen,outbound,15755556219,15755556201,text,"Order shipped, tracking to follow.",,sent,2026-10-19T18:35:00-06:00
wa_msg_gen_000003,conv_marco,inbound,15755556215,15755556219,text,"Mijo, llegas a cenar?",,delivered,2026-10-19T11:48:00-06:00
wa_msg_gen_000004,conv_marco,outbound,15755556219,15755556215,text,"Te quiero, call you at 6:30.",,sent,2026-10-19T11:52:00-06:00
wa_msg_gen_000005,conv_rosa,inbound,15755556208,15755556219,text,Sample batch 5 logged.,,delivered,2026-10-18T20:14:00-06:00
wa_msg_gen_000006,conv_rosa,outbound,15755556219,15755556208,text,"Te quiero, call you at 6:30.",,sent,2026-10-18T20:18:00-06:00
wa_msg_gen_000007,conv_diego,inbound,15755556243,15755556219,text,"Mijo, llegas a cenar?",,delivered,2026-10-19T17:25:00-06:00
wa_msg_gen_000008,conv_diego,outbound,15755556219,15755556243,text,On my way to the field site.,,read,2026-10-19T17:30:00-06:00
wa_msg_gen_000009,conv_sofia,inbound,15755556236,15755556219,text,Booth E-14 confirmed for ArtsFaire.,,delivered,2026-10-17T18:55:00-06:00
wa_msg_gen_000010,conv_sofia,outbound,15755556219,15755556236,text,"Mijo, llegas a cenar?",,read,2026-10-17T19:00:00-06:00
wa_msg_gen_000011,conv_carmen,inbound,15755556201,15755556219,text,Sample batch 11 logged.,,delivered,2026-10-19T18:32:00-06:00
wa_msg_gen_000012,conv_carmen,outbound,15755556219,15755556201,text,"Te quiero, call you at 6:30.",,sent,2026-10-19T18:35:00-06:00
wa_msg_gen_000013,conv_marco,inbound,15755556215,15755556219,text,Sample batch 13 logged.,,delivered,2026-10-19T11:48:00-06:00
wa_msg_gen_000014,conv_marco,outbound,15755556219,15755556215,text,On my way to the field site.,,sent,2026-10-19T11:52:00-06:00
wa_msg_gen_000015,conv_rosa,inbound,15755556208,15755556219,text,Booth E-14 confirmed for ArtsFaire.,,delivered,2026-10-18T20:14:00-06:00
wa_msg_gen_000016,conv_rosa,outbound,15755556219,15755556208,text,Booth E-14 confirmed for ArtsFaire.,,sent,2026-10-18T20:18:00-06:00
wa_msg_gen_000017,conv_diego,inbound,15755556243,15755556219,text,"Te quiero, call you at 6:30.",,delivered,2026-10-19T17:25:00-06:00
wa_msg_gen_000018,conv_diego,outbound,15755556219,15755556243,text,Sample batch 18 logged.,,read,2026-10-19T17:30:00-06:00
wa_msg_gen_000019,conv_sofia,inbound,15755556236,15755556219,text,"Mijo, llegas a cenar?",,delivered,2026-10-17T18:55:00-06:00
wa_msg_gen_000020,conv_sofia,outbound,15755556219,15755556236,text,"Mijo, llegas a cenar?",,read,2026-10-17T19:00:00-06:00
wa_msg_gen_000021,conv_carmen,inbound,15755556201,15755556219,text,"Order shipped, tracking to follow.",,delivered,2026-10-19T18:32:00-06:00
wa_msg_gen_000022,conv_carmen,outbound,15755556219,15755556201,text,Booth E-14 confirmed for ArtsFaire.,,sent,2026-10-19T18:35:00-06:00
wa_msg_gen_000023,conv_marco,inbound,15755556215,15755556219,text,Sample batch 23 logged.,,delivered,2026-10-19T11:48:00-06:00
wa_msg_gen_000024,conv_marco,outbound,15755556219,15755556215,text,"Te quiero, call you at 6:30.",,sent,2026-10-19T11:52:00-06:00
wa_msg_gen_000025,conv_rosa,inbound,15755556208,15755556219,text,On my way to the field site.,,delivered,2026-10-18T20:14:00-06:00
wa_msg_gen_000026,conv_rosa,outbound,15755556219,15755556208,text,"Te quiero, call you at 6:30.",,sent,2026-10-18T20:18:00-06:00
wa_msg_gen_000027,conv_diego,inbound,15755556243,15755556219,text,"Mijo, llegas a cenar?",,delivered,2026-10-19T17:25:00-06:00
wa_msg_gen_000028,conv_diego,outbound,15755556219,15755556243,text,"Order shipped, tracking to follow.",,read,2026-10-19T17:30:00-06:00
wa_msg_gen_000029,conv_sofia,inbound,15755556236,15755556219,text,Booth E-14 confirmed for ArtsFaire.,,delivered,2026-10-17T18:55:00-06:00
wa_msg_gen_000030,conv_sofia,outbound,15755556219,15755556236,text,On my way to the field site.,,read,2026-10-17T19:00:00-06:00
wa_msg_gen_000031,conv_carmen,inbound,15755556201,15755556219,text,On my way to the field site.,,delivered,2026-10-19T18:32:00-06:00
wa_msg_gen_000032,conv_carmen,outbound,15755556219,15755556201,text,"Mijo, llegas a cenar?",,sent,2026-10-19T18:35:00-06:00
wa_msg_gen_000033,conv_marco,inbound,15755556215,15755556219,text,Sample batch 33 logged.,,delivered,2026-10-19T11:48:00-06:00
wa_msg_gen_000034,conv_marco,outbound,15755556219,15755556215,text,Sample batch 34 logged.,,sent,2026-10-19T11:52:00-06:00
wa_msg_gen_000035,conv_rosa,inbound,15755556208,15755556219,text,On my way to the field site.,,delivered,2026-10-18T20:14:00-06:00
wa_msg_gen_000036,conv_rosa,outbound,15755556219,15755556208,text,"Order shipped, tracking to follow.",,sent,2026-10-18T20:18:00-06:00
wa_msg_gen_000037,conv_diego,inbound,15755556243,15755556219,text,On my way to the field site.,,delivered,2026-10-19T17:25:00-06:00
wa_msg_gen_000038,conv_diego,outbound,15755556219,15755556243,text,"Order shipped, tracking to follow.",,read,2026-10-19T17:30:00-06:00
wa_msg_gen_000039,conv_sofia,inbound,15755556236,15755556219,text,Booth E-14 confirmed for ArtsFaire.,,delivered,2026-10-17T18:55:00-06:00
wa_msg_gen_000040,conv_sofia,outbound,15755556219,15755556236,text,"Te quiero, call you at 6:30.",,read,2026-10-17T19:00:00-06:00
wa_msg_gen_000041,conv_carmen,inbound,15755556201,15755556219,text,"Te quiero, call you at 6:30.",,delivered,2026-10-19T18:32:00-06:00
wa_msg_gen_000042,conv_carmen,outbound,15755556219,15755556201,text,Booth E-14 confirmed for ArtsFaire.,,sent,2026-10-19T18:35:00-06:00
wa_msg_gen_000043,conv_marco,inbound,15755556215,15755556219,text,Booth E-14 confirmed for ArtsFaire.,,delivered,2026-10-19T11:48:00-06:00
wa_msg_gen_000044,conv_marco,outbound,15755556219,15755556215,text,Sample batch 44 logged.,,sent,2026-10-19T11:52:00-06:00
wa_msg_gen_000045,conv_rosa,inbound,15755556208,15755556219,text,"Mijo, llegas a cenar?",,delivered,2026-10-18T20:14:00-06:00
wa_msg_gen_000046,conv_rosa,outbound,15755556219,15755556208,text,"Mijo, llegas a cenar?",,sent,2026-10-18T20:18:00-06:00
wa_msg_gen_000047,conv_diego,inbound,15755556243,15755556219,text,"Mijo, llegas a cenar?",,delivered,2026-10-19T17:25:00-06:00
wa_msg_gen_000048,conv_diego,outbound,15755556219,15755556243,text,Sample batch 48 logged.,,read,2026-10-19T17:30:00-06:00
wa_msg_gen_000049,conv_sofia,inbound,15755556236,15755556219,text,Booth E-14 confirmed for ArtsFaire.,,delivered,2026-10-17T18:55:00-06:00
wa_msg_gen_000050,conv_sofia,outbound,15755556219,15755556236,text,Sample batch 50 logged.,,read,2026-10-17T19:00:00-06:00
wa_msg_gen_000051,conv_carmen,inbound,15755556201,15755556219,text,Sample batch 51 logged.,,delivered,2026-10-19T18:32:00-06:00
wa_msg_gen_000052,conv_carmen,outbound,15755556219,15755556201,text,Booth E-14 confirmed for ArtsFaire.,,sent,2026-10-19T18:35:00-06:00
wa_msg_gen_000053,conv_marco,inbound,15755556215,15755556219,text,"Te quiero, call you at 6:30.",,delivered,2026-10-19T11:48:00-06:00
wa_msg_gen_000054,conv_marco,outbound,15755556219,15755556215,text,"Te quiero, call you at 6:30.",,sent,2026-10-19T11:52:00-06:00
wa_msg_gen_000055,conv_rosa,inbound,15755556208,15755556219,text,On my way to the field site.,,delivered,2026-10-18T20:14:00-06:00
wa_msg_gen_000056,conv_rosa,outbound,15755556219,15755556208,text,"Mijo, llegas a cenar?",,sent,2026-10-18T20:18:00-06:00
wa_msg_gen_000057,conv_diego,inbound,15755556243,15755556219,text,On my way to the field site.,,delivered,2026-10-19T17:25:00-06:00
wa_msg_gen_000058,conv_diego,outbound,15755556219,15755556243,text,Booth E-14 confirmed for ArtsFaire.,,read,2026-10-19T17:30:00-06:00
wa_msg_gen_000059,conv_sofia,inbound,15755556236,15755556219,text,Booth E-14 confirmed for ArtsFaire.,,delivered,2026-10-17T18:55:00-06:00
wa_msg_gen_000060,conv_sofia,outbound,15755556219,15755556236,text,Booth E-14 confirmed for ArtsFaire.,,read,2026-10-17T19:00:00-06:00
wa_msg_gen_000061,conv_carmen,inbound,15755556201,15755556219,text,"Mijo, llegas a cenar?",,delivered,2026-10-19T18:32:00-06:00
wa_msg_gen_000062,conv_carmen,outbound,15755556219,15755556201,text,"Order shipped, tracking to follow.",,sent,2026-10-19T18:35:00-06:00
wa_msg_gen_000063,conv_marco,inbound,15755556215,15755556219,text,"Te quiero, call you at 6:30.",,delivered,2026-10-19T11:48:00-06:00
wa_msg_gen_000064,conv_marco,outbound,15755556219,15755556215,text,"Te quiero, call you at 6:30.",,sent,2026-10-19T11:52:00-06:00
wa_msg_gen_000065,conv_rosa,inbound,15755556208,15755556219,text,"Te quiero, call you at 6:30.",,delivered,2026-10-18T20:14:00-06:00
wa_msg_gen_000066,conv_rosa,outbound,15755556219,15755556208,text,Booth E-14 confirmed for ArtsFaire.,,sent,2026-10-18T20:18:00-06:00
wa_msg_gen_000067,conv_diego,inbound,15755556243,15755556219,text,"Order shipped, tracking to follow.",,delivered,2026-10-19T17:25:00-06:00
wa_msg_gen_000068,conv_diego,outbound,15755556219,15755556243,text,"Mijo, llegas a cenar?",,read,2026-10-19T17:30:00-06:00
wa_msg_gen_000069,conv_sofia,inbound,15755556236,15755556219,text,"Order shipped, tracking to follow.",,delivered,2026-10-17T18:55:00-06:00
wa_msg_gen_000070,conv_sofia,outbound,15755556219,15755556236,text,"Mijo, llegas a cenar?",,read,2026-10-17T19:00:00-06:00
wa_msg_gen_000071,conv_carmen,inbound,15755556201,15755556219,text,"Mijo, llegas a cenar?",,delivered,2026-10-19T18:32:00-06:00
wa_msg_gen_000072,conv_carmen,outbound,15755556219,15755556201,text,Sample batch 72 logged.,,sent,2026-10-19T18:35:00-06:00
wa_msg_gen_000073,conv_marco,inbound,15755556215,15755556219,text,"Order shipped, tracking to follow.",,delivered,2026-10-19T11:48:00-06:00
