id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt_nabcep,primary,NABCEP PV Exam,Bring photo ID + calculator. Fee paid.,"MATC Walker's Square, Room 218A",2026-10-16T18:00:00-05:00,2026-10-16T21:00:00-05:00,false,confirmed,jae.chandler@Finthesiss.ai,jae.chandler@Finthesiss.ai,,default
evt_yuna,primary,Yuna Fall Orchestra Concert,Yuna has a solo. No work calls.,Bay View High School,2026-10-24T19:00:00-05:00,2026-10-24T20:30:00-05:00,false,confirmed,jae.chandler@Finthesiss.ai,jae.chandler@Finthesiss.ai,,default
evt_ibew,primary,IBEW Local 494 Q4 Meeting,,IBEW Hall,2026-10-15T18:00:00-05:00,2026-10-15T19:30:00-05:00,false,confirmed,jae.chandler@Finthesiss.ai,jae.chandler@Finthesiss.ai,,default
evt_visit_sarah,primary,Solar Visit — Sarah Kapadia,Bay View site walkthrough,Bay View,2026-10-14T10:00:00-05:00,2026-10-14T11:00:00-05:00,false,confirmed,jae.chandler@Finthesiss.ai,jae.chandler@Finthesiss.ai,,default
evt_visit_dale,primary,Solar Visit — Dale Brennan,Greenfield site walkthrough,Greenfield,2026-10-14T13:30:00-05:00,2026-10-14T14:30:00-05:00,false,confirmed,jae.chandler@Finthesiss.ai,jae.chandler@Finthesiss.ai,,default
evt_visit_emma,primary,Solar Visit — Emma Kowalski,Wauwatosa site walkthrough,Wauwatosa,2026-10-14T16:30:00-05:00,2026-10-14T17:30:00-05:00,false,confirmed,jae.chandler@Finthesiss.ai,jae.chandler@Finthesiss.ai,,default
evt_walk_mon,primary,Morning walk with Mina,,Bay View,2026-10-12T05:30:00-05:00,2026-10-12T06:00:00-05:00,false,confirmed,jae.chandler@Finthesiss.ai,jae.chandler@Finthesiss.ai,"RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR",default
evt_derek_bball,primary,Derek basketball,,Fernwood,2026-10-13T19:00:00-05:00,2026-10-13T20:00:00-05:00,false,confirmed,jae.chandler@Finthesiss.ai,jae.chandler@Finthesiss.ai,,default
evt_church,primary,Sunday service + parents dinner,,MKPC,2026-10-18T09:00:00-05:00,2026-10-18T14:00:00-05:00,false,confirmed,jae.chandler@Finthesiss.ai,jae.chandler@Finthesiss.ai,,default
evt_fishfry,primary,Friday fish fry + movie night,"Family movie night, Yuna picks",Bay View,2026-10-16T17:00:00-05:00,2026-10-16T22:00:00-05:00,false,confirmed,jae.chandler@Finthesiss.ai,jae.chandler@Finthesiss.ai,,default
