id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt_nabcep_exam,cal_jae_primary,NABCEP PV Installation Professional — exam,"MATC Walker's Square campus, room 218A. Photo ID + candidate number. No personal study materials in exam room.","Milwaukee Area Technical College, Walker's Square, room 218A",2026-10-16T18:00:00-05:00,2026-10-16T21:00:00-05:00,False,confirmed,jae@chandlerelectric.com,jae@chandlerelectric.com,,private
evt_q3_tax_due,cal_jae_primary,Q3 federal estimated tax due (already past),Q3 2026 federal estimated tax was due Sep 15. Reminder fired and dropped.,,2026-09-15T07:00:00-05:00,2026-09-15T08:00:00-05:00,False,confirmed,jae@chandlerelectric.com,jae@chandlerelectric.com,,default
evt_calendly_bayview,cal_jae_primary,Solar consult — Bay View (Kapadia),"Calendly booking — Sarah Kapadia, 4-bed colonial.","2841 S Logan Ave, Bay View, Milwaukee WI 53207",2026-10-14T10:00:00-05:00,2026-10-14T11:00:00-05:00,False,confirmed,jae@chandlerelectric.com,jae@chandlerelectric.com,,default
evt_calendly_grnfd,cal_jae_primary,Solar consult — Greenfield PM (Brennan),"Calendly booking — Dale Brennan, triplex courtyard.","4720 W Forest Home Ave, Greenfield WI 53219",2026-10-14T13:30:00-05:00,2026-10-14T14:30:00-05:00,False,confirmed,jae@chandlerelectric.com,jae@chandlerelectric.com,,default
evt_calendly_wauwa,cal_jae_primary,Solar consult — Wauwatosa young family (Kowalski),"Calendly booking — Emma Kowalski, 3-bed ranch.","7218 W Center St, Wauwatosa WI 53210",2026-10-14T16:30:00-05:00,2026-10-14T17:30:00-05:00,False,confirmed,jae@chandlerelectric.com,jae@chandlerelectric.com,,default
evt_yuna_concert,cal_chandler_family,Yuna's orchestra concert — first solo violin part,Bay View High auditorium. Arrive by 6:30. Tony and Jenny coming.,Bay View High School auditorium,2026-10-24T19:00:00-05:00,2026-10-24T21:00:00-05:00,False,confirmed,mina.chandler.home@gmail.com,mina.chandler.home@gmail.com,,default
evt_friday_fish,cal_chandler_family,Friday fish fry with Tony,Lake Country Brewing. Weekly.,"Lake Country Brewing, Bay View",2026-10-09T18:30:00-05:00,2026-10-09T21:00:00-05:00,False,confirmed,jae@chandlerelectric.com,jae@chandlerelectric.com,RRULE:FREQ=WEEKLY;BYDAY=FR;COUNT=8,default
evt_harbor_inspect,cal_jae_primary,Harborview Phase 1 final inspection,City inspector visit. Greg Havlik coordinating.,"Harborview Condos, 1801 S 1st St",2026-11-04T08:00:00-06:00,2026-11-04T10:00:00-06:00,False,confirmed,greg.havlik@harborview-condos.com,greg.havlik@harborview-condos.com,,default
evt_solar_launch,cal_jae_primary,Solar line launch — Webflow + WordPress go-live,Webflow service page + WordPress safety post scheduled to publish.,,2026-10-17T08:00:00-05:00,2026-10-17T09:00:00-05:00,False,confirmed,jae@chandlerelectric.com,jae@chandlerelectric.com,,default
evt_crew_ryan_w_oct12,cal_crew_ops,Ryan O'Malley — Harborview units 7-12,Ryan crew on units 7-12 panel pulls. Mon-Wed.,Harborview Condos,2026-10-12T05:30:00-05:00,2026-10-14T15:30:00-05:00,False,confirmed,jae@chandlerelectric.com,jae@chandlerelectric.com,,default
