applicant_id,name,years_field_exp_raw,start_date,end_date,computed_yrs_as_of_2026_10_01,degree,location,prior_employer,reference_score,gap_months
A-01,Chinedu Eze,"Jun 2023 – Sep 2026",2023-06-15,2026-09-30,3.29,B.Agric (Crop Sci) U.Ibadan 2022,Nsukka,IITA Ibadan field assistant,4.4,0
A-02,Chinedu Eke,"Jan 2024 – Sep 2026",2024-01-08,2026-09-30,2.73,B.Sc Agronomy ABU Zaria 2023,Enugu,NRCRI Umudike field intern,4.1,0
A-03,Adaobi Nwankwo,"Mar 2022 – present",2022-03-01,2026-10-01,4.59,B.Agric U.Nigeria Nsukka 2021,Nsukka,WAITA Nairobi exchange 2023,4.6,0
A-04,Ibrahim Sani,"Aug 2023 – Aug 2026",2023-08-01,2026-08-15,3.04,B.Sc Crop Sci ABU Zaria 2022,Kaduna,Kano State Agric extension,3.9,1.5
A-05,Folake Adeyemi,"2020 – 2024",2020-01-15,2024-12-20,4.93,B.Agric U.Ibadan 2019,Ibadan,IAR Samaru,4.0,9
A-06,Ngozi Okeke,"Feb 2024 – present",2024-02-01,2026-10-01,2.67,B.Sc Plant Sci U.Lagos 2023,Lagos,Lagos State agric ministry intern,3.7,0
A-07,Tunde Bakare,"Nov 2022 – Jul 2026",2022-11-01,2026-07-31,3.75,B.Agric Adekunle Ajasin U. 2021,Akure,Ondo Cocoa Research Inst,4.2,2
A-08,Aisha Mohammed,"Sept 2023 – present",2023-09-15,2026-10-01,3.04,B.Sc Crop Prot Ahmadu Bello U. 2022,Zaria,LCRI Maiduguri,4.3,0
A-09,Chima Okafor,"Apr 2020 – Apr 2023",2020-04-01,2023-04-30,3.08,B.Agric U.Nigeria Nsukka 2019,Owerri,NRCRI Umudike,3.5,42
A-10,Hauwa Yakubu,"Jul 2024 – present",2024-07-01,2026-10-01,2.25,B.Sc Plant Breeding U.Maiduguri 2023,Maiduguri,Borno State agric extension,3.8,0
A-11,Olu Adebayo,"Feb 2021 – Feb 2024 + Aug 2025 – present",2021-02-01,2026-10-01,4.17,B.Agric U.Ibadan 2020,Ibadan,IITA field tech (2yr gap),4.0,17
A-12,Maryam Ibrahim,"Oct 2023 – present",2023-10-15,2026-10-01,2.96,B.Sc Soil Sci ABU Zaria 2022,Zaria,IAR Samaru intern,4.1,0
