id,createdTime,FarmerID,LGA,Active,JoinedDate,Phone
recFRM0001,2026-03-15T08:00:00.000Z,FRM-2024-0001,Nsukka,True,2024-03-15,+2348079751305
recFRM0002,2026-03-15T08:00:00.000Z,FRM-2024-0002,Udi,True,2024-03-15,+2348011800227
recFRM0003,2026-03-15T08:00:00.000Z,FRM-2024-0003,Aninri,True,2024-03-15,+2348040765570
recFRM0004,2026-03-15T08:00:00.000Z,FRM-2024-0004,Aninri,True,2024-03-15,+2348095249053
recFRM0005,2026-03-15T08:00:00.000Z,FRM-2024-0005,Udi,True,2024-03-15,+2348070473552
recFRM0006,2026-03-15T08:00:00.000Z,FRM-2024-0006,Udi,True,2024-03-15,+2348053894286
recFRM0007,2026-03-15T08:00:00.000Z,FRM-2024-0007,Nsukka,True,2024-03-15,+2348061990327
recFRM0008,2026-03-15T08:00:00.000Z,FRM-2024-0008,Udi,True,2024-03-15,+2348034052166
recFRM0009,2026-03-15T08:00:00.000Z,FRM-2024-0009,Nsukka,True,2024-03-15,+2348052917739
recFRM0010,2026-03-15T08:00:00.000Z,FRM-2024-0010,Udi,True,2024-03-15,+2348030276343
recFRM0011,2026-03-15T08:00:00.000Z,FRM-2024-0011,Nsukka,True,2024-03-15,+2348052158130
recFRM0012,2026-03-15T08:00:00.000Z,FRM-2024-0012,Igbo-Eze,True,2024-03-15,+2348098673996
recFRM0013,2026-03-15T08:00:00.000Z,FRM-2024-0013,Udi,True,2024-03-15,+2348064996617
recFRM0014,2026-03-15T08:00:00.000Z,FRM-2024-0014,Enugu-East,True,2024-03-15,+2348053496336
recFRM0015,2026-03-15T08:00:00.000Z,FRM-2024-0015,Igbo-Eze,True,2024-03-15,+2348068216571
recFRM0016,2026-03-15T08:00:00.000Z,FRM-2024-0016,Enugu-East,True,2024-03-15,+2348032272661
recFRM0017,2026-03-15T08:00:00.000Z,FRM-2024-0017,Igbo-Eze,True,2024-03-15,+2348016074124
recFRM0018,2026-03-15T08:00:00.000Z,FRM-2024-0018,Igbo-Eze,True,2024-03-15,+2348099887393
recFRM0019,2026-03-15T08:00:00.000Z,FRM-2024-0019,Igbo-Eze,True,2024-03-15,+2348079722459
recFRM0020,2026-03-15T08:00:00.000Z,FRM-2024-0020,Udi,True,2024-03-15,+2348054467295
recFRM0021,2026-03-15T08:00:00.000Z,FRM-2024-0021,Nsukka,True,2024-03-15,+2348056076463
recFRM0022,2026-03-15T08:00:00.000Z,FRM-2024-0022,Udi,True,2024-03-15,+2348096503280
recFRM0023,2026-03-15T08:00:00.000Z,FRM-2024-0023,Aninri,True,2024-03-15,+2348088932126
