id,firstName,lastName,workEmail,department,jobTitle,location,hireDate,status,supervisorId
EMP_001,Layla,McBride,layla.mcbride@nnu.edu.ng,Crop Science,Senior Research Fellow,Nsukka,2018-09-01,Active,
EMP_002,Idongesit,Akpan,akpan.idongesit@nnu.edu.ng,Crop Science,Senior Lecturer,Nsukka,2019-02-12,Active,EMP_001
EMP_003,Derek,Walsh,d.walsh@nnu.edu.ng,Crop Science,Lecturer II,Nsukka,2021-08-15,Active,EMP_001
EMP_004,Adaeze,Eze,adaeze.eze@nnu.edu.ng,Crop Science,Field Research Assistant,Udi,2023-07-05,Active,EMP_002
EMP_005,Chinedu,Eke,chinedu.eke@nnu.edu.ng,Crop Science,Field Research Assistant,Udi,2024-01-22,Active,EMP_002
EMP_006,Grace,Obi,grace.obi@nnu.edu.ng,Crop Science,Lab Technician,Nsukka,2022-06-12,Active,EMP_002
EMP_007,Emeka,Nwosu,emeka.nwosu@nnu.edu.ng,Administration,Grants Officer,Nsukka,2020-04-01,Active,
EMP_008,Ifeoma,Onye,ifeoma.onye@nnu.edu.ng,Administration,Finance Officer,Nsukka,2019-11-08,Active,EMP_007
EMP_009,Tunde,Aderemi,esfes_coord@esfes.org.ng,ESFES (contract),Field Coordinator,Udi,2024-07-15,Active,EMP_001
EMP_010,Blessing,Okafor,blessing.okafor@nnu.edu.ng,Crop Science,Field Sampler (PT),Udi,2025-03-04,Active,EMP_002
EMP_011,Chika,Igwe,chika.igwe@nnu.edu.ng,Crop Science,Field Research Assistant,Udi,2025-10-01,Active,EMP_002
EMP_012,Henry,Okoro,henry.okoro@nnu.edu.ng,Crop Science,Field Research Assistant,Nsukka,2024-08-14,Inactive,EMP_002
