event_id,email,display_name,response_status,optional,organizer
evt_waada_q3_review,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,True
evt_waada_q3_review,d.walsh@nnu.edu.ng,Derek Walsh,accepted,False,False
evt_esfes_workshop,esfes_coord@esfes.org.ng,Tunde Aderemi,accepted,False,True
evt_esfes_workshop,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20260708,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20260722,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20260805,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20260819,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20260902,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20260916,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20260930,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20261014,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20261028,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20261111,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20261125,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20261209,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20261223,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20270106,layla.mcbride@nnu.edu.ng,Layla McBride,accepted,False,False
evt_waita_20260708,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
evt_waita_20260722,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
evt_waita_20260805,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
evt_waita_20260819,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
evt_waita_20260902,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
evt_waita_20260916,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
evt_waita_20260930,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
evt_waita_20261014,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
evt_waita_20261028,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
evt_waita_20261111,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
evt_waita_20261125,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
evt_waita_20261209,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
evt_waita_20261223,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
evt_waita_20270106,a.bello@eacri.ac.ke,Amina Bello,accepted,False,True
