id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt_waita_20260708,cal_waita_eacri,WAITA-EACRI Bi-weekly Coord,Layla ↔ Amina sync (Y2 deliverables review),Zoom,2026-07-08T15:00:00+01:00,2026-07-08T15:45:00+01:00,False,confirmed,layla.mcbride@nnu.edu.ng,a.bello@eacri.ac.ke,RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=WE,default
evt_waita_20260722,cal_waita_eacri,WAITA-EACRI Bi-weekly Coord,Layla ↔ Amina sync (Y2 deliverables review),Zoom,2026-07-22T15:00:00+01:00,2026-07-22T15:45:00+01:00,False,confirmed,layla.mcbride@nnu.edu.ng,a.bello@eacri.ac.ke,RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=WE,default
evt_waita_20260805,cal_waita_eacri,WAITA-EACRI Bi-weekly Coord,Layla ↔ Amina sync (Y2 deliverables review),Zoom,2026-08-05T15:00:00+01:00,2026-08-05T15:45:00+01:00,False,confirmed,layla.mcbride@nnu.edu.ng,a.bello@eacri.ac.ke,RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=WE,default
evt_waita_20260819,cal_waita_eacri,WAITA-EACRI Bi-weekly Coord,Layla ↔ Amina sync (Y2 deliverables review),Zoom,2026-08-19T15:00:00+01:00,2026-08-19T15:45:00+01:00,False,confirmed,layla.mcbride@nnu.edu.ng,a.bello@eacri.ac.ke,RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=WE,default
evt_waita_20260902,cal_waita_eacri,WAITA-EACRI Bi-weekly Coord,Layla ↔ Amina sync (Y2 deliverables review),Zoom,2026-09-02T15:00:00+01:00,2026-09-02T15:45:00+01:00,False,confirmed,layla.mcbride@nnu.edu.ng,a.bello@eacri.ac.ke,RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=WE,default
evt_waita_20260916,cal_waita_eacri,WAITA-EACRI Bi-weekly Coord,Layla ↔ Amina sync (Y2 deliverables review),Zoom,2026-09-16T15:00:00+01:00,2026-09-16T15:45:00+01:00,False,confirmed,layla.mcbride@nnu.edu.ng,a.bello@eacri.ac.ke,RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=WE,default
evt_waita_20260930,cal_waita_eacri,WAITA-EACRI Bi-weekly Coord,Layla ↔ Amina sync (Y2 deliverables review),Zoom,2026-09-30T15:00:00+01:00,2026-09-30T15:45:00+01:00,False,confirmed,layla.mcbride@nnu.edu.ng,a.bello@eacri.ac.ke,RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=WE,default
evt_waita_20261014,cal_waita_eacri,WAITA-EACRI Bi-weekly Coord,Layla ↔ Amina sync (Y2 deliverables review),Zoom,2026-10-14T15:00:00+01:00,2026-10-14T15:45:00+01:00,False,confirmed,layla.mcbride@nnu.edu.ng,a.bello@eacri.ac.ke,RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=WE,default
evt_waita_20261028,cal_waita_eacri,WAITA-EACRI Bi-weekly Coord,Layla ↔ Amina sync (Y2 deliverables review),Zoom,2026-10-28T15:00:00+01:00,2026-10-28T15:45:00+01:00,False,confirmed,layla.mcbride@nnu.edu.ng,a.bello@eacri.ac.ke,RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=WE,default
evt_waita_20261111,cal_waita_eacri,WAITA-EACRI Bi-weekly Coord,Layla ↔ Amina sync (Y2 deliverables review),Zoom,2026-11-11T15:00:00+01:00,2026-11-11T15:45:00+01:00,False,confirmed,layla.mcbride@nnu.edu.ng,a.bello@eacri.ac.ke,RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=WE,default
