event_id,email,display_name,response_status,optional,organizer
evt_final_consult,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,accepted,False,False
evt_council_brief,d.ouellet.conseil@Finthesiss.ai,David Ouellet,needsAction,False,False
evt_council_brief,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,needsAction,False,False
evt_council_brief,amara.diallo.urbaniste@Finthesiss.ai,Amara Diallo,needsAction,True,False
evt_icu,pierre.armstrong.transport@Finthesiss.ai,Pierre Armstrong,accepted,False,False
evt_icu,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,tentative,True,False
evt_emile_swim,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,tentative,False,False
evt_sunday_lunch,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,needsAction,False,False
evt_sunday_lunch,marc.tremblay.enviro@Finthesiss.ai,Marc Tremblay,needsAction,False,False
evt_cottage_hold,amara.diallo.urbaniste@Finthesiss.ai,Amara Diallo,tentative,False,False
evt_cottage_hold,lucie.bergeron.velo@Finthesiss.ai,Lucie Bergeron,tentative,False,False
evt_cottage_hold,amara.diallo.urbaniste@Finthesiss.ai,Amara Diallo,tentative,False,False
evt_g000,pierre.armstrong.transport@Finthesiss.ai,Pierre Armstrong,tentative,False,False
evt_g000,d.ouellet.conseil@Finthesiss.ai,David Ouellet,accepted,False,False
evt_g001,marc.tremblay.enviro@Finthesiss.ai,Marc Tremblay,tentative,True,False
evt_g001,pierre.armstrong.transport@Finthesiss.ai,Pierre Armstrong,tentative,False,False
evt_g001,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,tentative,True,False
evt_g002,mcdubois.clinique@Finthesiss.ai,Marie-Claire Dubois,tentative,True,False
evt_g005,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,accepted,False,False
evt_g008,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,tentative,True,False
evt_g008,pierre.armstrong.transport@Finthesiss.ai,Pierre Armstrong,tentative,False,False
evt_g009,lucie.bergeron.velo@Finthesiss.ai,Lucie Bergeron,accepted,False,False
evt_g010,amara.diallo.urbaniste@Finthesiss.ai,Amara Diallo,accepted,True,False
evt_g010,pierre.armstrong.transport@Finthesiss.ai,Pierre Armstrong,needsAction,True,False
evt_g011,marc.tremblay.enviro@Finthesiss.ai,Marc Tremblay,needsAction,False,False
evt_g012,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,needsAction,False,False
evt_g012,lucie.bergeron.velo@Finthesiss.ai,Lucie Bergeron,needsAction,False,False
evt_g013,d.ouellet.conseil@Finthesiss.ai,David Ouellet,tentative,True,False
evt_g013,simone.armstrong.plateau@Finthesiss.ai,Simone Armstrong,needsAction,False,False
evt_g015,mcdubois.clinique@Finthesiss.ai,Marie-Claire Dubois,accepted,False,False
evt_g015,marc.tremblay.enviro@Finthesiss.ai,Marc Tremblay,tentative,True,False
evt_g016,pierre.armstrong.transport@Finthesiss.ai,Pierre Armstrong,tentative,True,False
evt_g016,amara.diallo.urbaniste@Finthesiss.ai,Amara Diallo,accepted,False,False
evt_g016,pierre.armstrong.transport@Finthesiss.ai,Pierre Armstrong,needsAction,False,False
evt_g017,marc.tremblay.enviro@Finthesiss.ai,Marc Tremblay,tentative,False,False
evt_g017,simone.armstrong.plateau@Finthesiss.ai,Simone Armstrong,needsAction,True,False
evt_g018,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,tentative,False,False
evt_g019,d.ouellet.conseil@Finthesiss.ai,David Ouellet,accepted,True,False
evt_g020,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,tentative,True,False
evt_g020,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,tentative,False,False
evt_g021,simone.armstrong.plateau@Finthesiss.ai,Simone Armstrong,tentative,True,False
evt_g021,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,accepted,False,False
evt_g022,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,accepted,False,False
evt_g022,marc.tremblay.enviro@Finthesiss.ai,Marc Tremblay,tentative,True,False
evt_g023,mcdubois.clinique@Finthesiss.ai,Marie-Claire Dubois,accepted,True,False
evt_g023,marc.tremblay.enviro@Finthesiss.ai,Marc Tremblay,tentative,False,False
evt_g024,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,tentative,True,False
evt_g024,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,needsAction,False,False
evt_g024,pierre.armstrong.transport@Finthesiss.ai,Pierre Armstrong,needsAction,True,False
evt_g025,lucie.bergeron.velo@Finthesiss.ai,Lucie Bergeron,tentative,True,False
evt_g026,simone.armstrong.plateau@Finthesiss.ai,Simone Armstrong,accepted,False,False
evt_g026,simone.armstrong.plateau@Finthesiss.ai,Simone Armstrong,accepted,True,False
evt_g026,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,needsAction,True,False
evt_g027,marc.tremblay.enviro@Finthesiss.ai,Marc Tremblay,accepted,False,False
evt_g028,marc.tremblay.enviro@Finthesiss.ai,Marc Tremblay,accepted,True,False
evt_g028,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,accepted,True,False
evt_g029,simone.armstrong.plateau@Finthesiss.ai,Simone Armstrong,tentative,True,False
evt_g029,mcdubois.clinique@Finthesiss.ai,Marie-Claire Dubois,needsAction,False,False
