id,parent_type,parent_id,title,created_time,last_edited_time,created_by,archived,icon,cover_url
ouellet_position_note,database_id,db_stakeholders,David Ouellet - position,2026-09-01T10:00:00.000Z,2026-10-15T10:00:00.000Z,usr_ruth,False,Person,
sophie_headcount_note,database_id,db_consult,Final consultation - headcount,2026-10-10T10:00:00.000Z,2026-10-14T10:00:00.000Z,usr_ruth,False,Note,
parcex_methodology,database_id,db_consult,Parc-Extension methodology notes,2026-02-10T10:00:00.000Z,2026-10-11T10:00:00.000Z,usr_ruth,False,Book,
parcex_cached_figures,database_id,db_consult,Parc-Ex figures (cached) - quick reference,2026-10-05T10:00:00.000Z,2026-10-05T10:00:00.000Z,usr_ruth,False,Note,
climate_metrics_ref,database_id,db_consult,Green-infra authoritative metrics,2026-10-09T10:00:00.000Z,2026-10-11T10:00:00.000Z,usr_ruth,False,Book,
mobilite_traffic_ref,database_id,db_consult,Mobilite Plateau - before/after counts,2026-10-08T10:00:00.000Z,2026-10-11T10:00:00.000Z,usr_ruth,False,Note,
pg_000,database_id,db_stakeholders,Site-visit log - Sylvie Demers,2026-03-07T10:00:00.000Z,2026-10-11T10:00:00.000Z,usr_ruth,False,Person,
pg_001,database_id,db_stakeholders,Project note - Antoine Nadeau,2026-04-26T10:00:00.000Z,2026-10-08T10:00:00.000Z,usr_ruth,False,Note,
pg_002,database_id,db_stakeholders,Stakeholder map - Veronique Roy,2026-06-04T10:00:00.000Z,2026-10-03T10:00:00.000Z,usr_ruth,False,Book,
pg_003,database_id,db_consult,Site-visit log - Etienne Thibault,2026-05-18T10:00:00.000Z,2026-10-09T10:00:00.000Z,usr_ruth,False,Map,
pg_004,database_id,db_stakeholders,Project note - Sebastien Tremblay-Roy,2026-06-04T10:00:00.000Z,2026-10-02T10:00:00.000Z,usr_ruth,False,Map,
pg_005,database_id,db_consult,Project note - Genevieve Bergeron,2026-09-02T10:00:00.000Z,2026-10-08T10:00:00.000Z,usr_amara,False,Note,
pg_006,database_id,db_stakeholders,Site-visit log - Genevieve Lavoie,2026-04-17T10:00:00.000Z,2026-10-02T10:00:00.000Z,usr_ruth,False,Person,
pg_007,database_id,db_stakeholders,Outreach note - Manon Gagne,2026-10-08T10:00:00.000Z,2026-10-07T10:00:00.000Z,usr_amara,False,Book,
pg_008,database_id,db_stakeholders,Site-visit log - Josee Beaulieu,2026-03-09T10:00:00.000Z,2026-10-13T10:00:00.000Z,usr_ruth,False,Note,
pg_009,database_id,db_stakeholders,Site-visit log - Marie-Eve Caron,2026-08-09T10:00:00.000Z,2026-10-10T10:00:00.000Z,usr_amara,False,Person,
pg_010,database_id,db_consult,Consultation log - Antoine Lemieux,2026-03-15T10:00:00.000Z,2026-10-13T10:00:00.000Z,usr_amara,False,Person,
pg_011,database_id,db_consult,Outreach note - Marie-Eve Patel,2026-04-18T10:00:00.000Z,2026-10-04T10:00:00.000Z,usr_amara,False,Person,
pg_012,database_id,db_stakeholders,Consultation log - Isabelle Belanger,2026-08-08T10:00:00.000Z,2026-10-01T10:00:00.000Z,usr_ruth,False,Map,
pg_013,database_id,db_consult,Stakeholder map - Isabelle Fournier,2026-08-11T10:00:00.000Z,2026-10-11T10:00:00.000Z,usr_amara,False,Map,
pg_014,database_id,db_consult,Site-visit log - Bruno Gauthier,2026-06-05T10:00:00.000Z,2026-10-06T10:00:00.000Z,usr_ruth,False,Person,
pg_015,database_id,db_stakeholders,Project note - Audrey Lavoie,2026-04-14T10:00:00.000Z,2026-10-12T10:00:00.000Z,usr_amara,False,Book,
pg_016,database_id,db_stakeholders,Site-visit log - Frederic Gauthier,2026-07-28T10:00:00.000Z,2026-10-01T10:00:00.000Z,usr_amara,False,Book,
pg_017,database_id,db_consult,Stakeholder map - Camille Boucher,2026-06-09T10:00:00.000Z,2026-10-03T10:00:00.000Z,usr_ruth,False,Book,
pg_018,database_id,db_stakeholders,Stakeholder map - Marie-Eve Patel,2026-09-11T10:00:00.000Z,2026-10-13T10:00:00.000Z,usr_ruth,False,Map,
pg_019,database_id,db_stakeholders,Outreach note - Mathieu Mercier,2026-06-20T10:00:00.000Z,2026-10-10T10:00:00.000Z,usr_amara,False,Person,
pg_020,database_id,db_stakeholders,Outreach note - Maxime Simard,2026-06-04T10:00:00.000Z,2026-10-03T10:00:00.000Z,usr_amara,False,Book,
pg_021,database_id,db_stakeholders,Project note - Nicolas Demers,2026-04-08T10:00:00.000Z,2026-10-07T10:00:00.000Z,usr_ruth,False,Book,
pg_022,database_id,db_consult,Outreach note - Maxime Girard,2026-07-21T10:00:00.000Z,2026-10-06T10:00:00.000Z,usr_ruth,False,Note,
pg_023,database_id,db_consult,Stakeholder map - Alexandre Singh,2026-10-14T10:00:00.000Z,2026-10-05T10:00:00.000Z,usr_amara,False,Book,
pg_024,database_id,db_consult,Outreach note - Marie-Eve Bouchard,2026-05-22T10:00:00.000Z,2026-10-03T10:00:00.000Z,usr_ruth,False,Note,
pg_025,database_id,db_consult,Site-visit log - Genevieve Nguyen,2026-02-13T10:00:00.000Z,2026-10-07T10:00:00.000Z,usr_amara,False,Map,
pg_026,database_id,db_stakeholders,Outreach note - Genevieve Girard,2026-04-14T10:00:00.000Z,2026-10-10T10:00:00.000Z,usr_amara,False,Note,
pg_027,database_id,db_stakeholders,Project note - Josee Lavoie,2026-10-15T10:00:00.000Z,2026-10-10T10:00:00.000Z,usr_amara,False,Note,
pg_028,database_id,db_consult,Outreach note - Mathieu Dube,2026-08-17T10:00:00.000Z,2026-10-07T10:00:00.000Z,usr_ruth,False,Person,
pg_029,database_id,db_stakeholders,Stakeholder map - Patrick Roy,2026-04-02T10:00:00.000Z,2026-10-03T10:00:00.000Z,usr_ruth,False,Map,
pg_030,database_id,db_stakeholders,Project note - Chloe Lemieux,2026-10-02T10:00:00.000Z,2026-10-10T10:00:00.000Z,usr_amara,False,Note,
pg_031,database_id,db_stakeholders,Project note - Yannick Caron,2026-04-24T10:00:00.000Z,2026-10-12T10:00:00.000Z,usr_amara,False,Book,
pg_032,database_id,db_consult,Project note - Maxime Tremblay-Roy,2026-02-28T10:00:00.000Z,2026-10-09T10:00:00.000Z,usr_amara,False,Map,
pg_033,database_id,db_stakeholders,Site-visit log - Julie Gagne,2026-05-19T10:00:00.000Z,2026-10-14T10:00:00.000Z,usr_amara,False,Book,
pg_034,database_id,db_consult,Project note - Nadia Paquette,2026-08-25T10:00:00.000Z,2026-10-12T10:00:00.000Z,usr_amara,False,Note,
pg_035,database_id,db_consult,Consultation log - Helene Pelletier,2026-08-15T10:00:00.000Z,2026-10-09T10:00:00.000Z,usr_amara,False,Person,
pg_036,database_id,db_consult,Outreach note - Sylvie Belanger,2026-04-26T10:00:00.000Z,2026-10-10T10:00:00.000Z,usr_ruth,False,Map,
pg_037,database_id,db_stakeholders,Project note - Antoine Thibault,2026-09-25T10:00:00.000Z,2026-10-01T10:00:00.000Z,usr_ruth,False,Book,
