id,name,real_name,email,is_admin,is_bot,tz,status_text,presence
U_ruth,ruth,Ruth Armstrong,ruth.armstrong@Finthesiss.ai,True,False,America/Toronto,,active
U_lucie,lucie,Lucie Bergeron,lucie.bergeron.velo@Finthesiss.ai,False,False,America/Toronto,,away
U_amara,amara,Amara Diallo,amara.diallo@Finthesiss.ai,False,False,America/Toronto,,active
U_sophie,sophie,Sophie Chen,sophie.chen@Finthesiss.ai,False,False,America/Toronto,,away
U_jf,jf,Jean-Francois Lavigne,jeanfrancois.lavigne@Finthesiss.ai,False,False,America/Toronto,,active
U_marc,marc,Marc Tremblay,marc.tremblay@Finthesiss.ai,False,False,America/Toronto,,active
U_x00,user0,Vincent Leduc,vincent.leduc@example.org,False,False,America/Toronto,,away
U_x01,user1,Bruno Paquette,bruno.paquette@example.org,False,False,America/Toronto,,active
U_x02,user2,Mathieu Charest,mathieu.charest@example.org,False,False,America/Toronto,,away
U_x03,user3,Yannick Fournier,yannick.fournier@example.org,False,False,America/Toronto,,away
U_x04,user4,Maxime Girard,maxime.girard@example.org,False,False,America/Toronto,,away
U_x05,user5,Mathieu Leblanc,mathieu.leblanc@example.org,False,False,America/Toronto,,away
U_x06,user6,Audrey Lapointe,audrey.lapointe@example.org,False,False,America/Toronto,,away
U_x07,user7,Olivier Leduc,olivier.leduc@example.org,False,False,America/Toronto,,active
U_x08,user8,Jean-Philippe Patel,jeanphilippe.patel@example.org,False,False,America/Toronto,,active
U_x09,user9,Sebastien Cote,sebastien.cote@example.org,False,False,America/Toronto,,active
U_x10,user10,Isabelle Beaulieu,isabelle.beaulieu@example.org,False,False,America/Toronto,,away
U_x11,user11,Mathieu Girard,mathieu.girard@example.org,False,False,America/Toronto,,active
U_x12,user12,Etienne Lavoie,etienne.lavoie@example.org,False,False,America/Toronto,,away
U_x13,user13,Nicolas Fournier,nicolas.fournier@example.org,False,False,America/Toronto,,away
U_x14,user14,Patrick Gagnon,patrick.gagnon@example.org,False,False,America/Toronto,,active
U_x15,user15,Patrick Simard,patrick.simard@example.org,False,False,America/Toronto,,active
U_x16,user16,Sandrine Poirier,sandrine.poirier@example.org,False,False,America/Toronto,,active
U_x17,user17,Vincent Singh,vincent.singh@example.org,False,False,America/Toronto,,away
U_x18,user18,Sylvie Bergeron,sylvie.bergeron@example.org,False,False,America/Toronto,,away
U_x19,user19,Vincent Fournier,vincent.fournier@example.org,False,False,America/Toronto,,active
U_x20,user20,Veronique Tremblay-Roy,veronique.tremblayroy@example.org,False,False,America/Toronto,,active
U_x21,user21,Isabelle Bergeron,isabelle.bergeron@example.org,False,False,America/Toronto,,active
U_x22,user22,Maxime Cloutier,maxime.cloutier@example.org,False,False,America/Toronto,,away
U_x23,user23,Genevieve Poirier,genevieve.poirier@example.org,False,False,America/Toronto,,away
