sid,from_number,to_number,body,status,direction,num_segments,price,price_unit,error_code,date_sent,date_created
SM00000000000000000000000000000000,+15145550199,+15149402361,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:51:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000001,+15145550199,+15147704038,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:39:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000002,+15145550199,+15145149378,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:44:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000003,+15145550199,+15148295282,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:00:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000004,+15145550199,+15146023806,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:59:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000005,+15145550199,+15145143122,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:26:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000006,+15145550199,+15144593481,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:07:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000007,+15145550199,+15142554846,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:35:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000008,+15145550199,+15145338664,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:49:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000009,+15145550199,+15147134261,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:17:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000010,+15145550199,+15143405783,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:00:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000011,+15145550199,+15143527328,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:51:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000012,+15145550199,+15146286535,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:28:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000013,+15145550199,+15143999133,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:02:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000014,+15145550199,+15148303185,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:55:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000015,+15145550199,+15146420016,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:21:00-04:00,2026-10-15T06:00:00-04:00
