Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,03/01/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,8707.13,
DEBIT,03/01/2026,NETFLIX.COM,-15.99,DEBIT_CARD,9401.14,
DEBIT,03/02/2026,CHASE HOME FINANCE AUTOPAY,-2450.00,ACH_DEBIT,11157.13,
DEBIT,03/02/2026,ZELLE PAYMENT TO CHRISTINE HAYES,-1200.00,ACH_DEBIT,9957.13,
DEBIT,03/03/2026,ZELLE PAYMENT CHILD SUPPORT,-400.00,ACH_DEBIT,9557.13,
DEBIT,03/03/2026,SPOTIFY USA INC,-10.99,DEBIT_CARD,9390.15,
DEBIT,03/05/2026,GOOGLE *YOUTUBE PREMIUM,-13.99,DEBIT_CARD,9376.16,
DEBIT,03/05/2026,SMITH'S FOOD AND DRUG #0823 SALT LAKE CITY UT,-128.50,DEBIT_CARD,9065.51,
DEBIT,03/06/2026,ATLASSIAN TRELLO PREMIUM,-5.00,DEBIT_CARD,9371.16,
DEBIT,03/08/2026,BONNEVILLE ACADEMY LUNCH PROGRAM,-120.00,ACH_DEBIT,7711.01,
DEBIT,03/10/2026,PROGRESSIVE INSURANCE AUTOPAY,-140.00,ACH_DEBIT,9417.13,
DEBIT,03/11/2026,COSTCO WHSE #1234 SALT LAKE CITY UT,-220.15,DEBIT_CARD,8845.36,
CREDIT,03/15/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,13607.13,
DEBIT,03/15/2026,MAVERIK #0412 SALT LAKE CITY UT,-85.10,DEBIT_CARD,8760.26,
DEBIT,03/16/2026,THE COPPER ONION SALT LAKE CITY UT,-37.96,DEBIT_CARD,8671.01,
DEBIT,03/16/2026,SUGARHOUSE COUNSELING CENTER,-200.00,DEBIT_CARD,7511.01,
DEBIT,03/24/2026,DOORDASH*ORDER SLC UT,-31.55,DEBIT_CARD,8728.71,
DEBIT,03/24/2026,VERIZON WIRELESS AUTOPAY,-85.00,ACH_DEBIT,8586.01,
DEBIT,03/26/2026,ROCKY MOUNTAIN POWER,-235.00,ACH_DEBIT,8351.01,
DEBIT,03/28/2026,WHOLE FOODS MARKET #10847 SALT LAKE CITY UT,-177.15,DEBIT_CARD,9194.01,
DEBIT,03/28/2026,CUBBY'S CHICAGO BEEF SLC UT,-19.74,DEBIT_CARD,8708.97,
DEBIT,03/28/2026,MOUNTAIN AMERICA CU AUTO LOAN,-520.00,ACH_DEBIT,7831.01,
