name,phone,dozens,flavor,pickup,paid
Theresa Nolan,(702) 555-0206,5,sugar + sprinkles,12/19/2025,yes
Anita Coleman,(702) 555-0241,3,gingerbread,12/20/2025,yes
Grace Tran,(702) 555-0327,8,assorted,12/21/2025,no
Sam Whitfield,(702) 555-0419,4,snickerdoodle,12/20/2025,yes
Renee Castillo,(702) 555-0533,6,sugar + sprinkles,12/22/2025,yes
Paul Brennan,(702) 555-0288,2,gingerbread,12/19/2025,yes
Diana Foster,(702) 555-0264,10,assorted,12/23/2025,no
Kevin Ames,(702) 555-0312,5,linzer,12/21/2025,yes
Marisol Ibarra,(702) 555-0455,3,sugar + sprinkles,12/20/2025,yes
Wendy Cho,(702) 555-0673,6,assorted,12/22/2025,yes
