Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,04/01/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,9148.70,
DEBIT,04/01/2026,NETFLIX.COM,-15.99,DEBIT_CARD,9842.71,
DEBIT,04/02/2026,CHASE HOME FINANCE AUTOPAY,-2450.00,ACH_DEBIT,11598.70,
DEBIT,04/02/2026,ZELLE PAYMENT TO CHRISTINE HAYES,-1200.00,ACH_DEBIT,10398.70,
DEBIT,04/03/2026,ZELLE PAYMENT CHILD SUPPORT,-400.00,ACH_DEBIT,9998.70,
DEBIT,04/03/2026,SPOTIFY USA INC,-10.99,DEBIT_CARD,9831.72,
DEBIT,04/05/2026,GOOGLE *YOUTUBE PREMIUM,-13.99,DEBIT_CARD,9817.73,
DEBIT,04/06/2026,ATLASSIAN TRELLO PREMIUM,-5.00,DEBIT_CARD,9812.73,
DEBIT,04/08/2026,WHOLE FOODS MARKET #10847 SALT LAKE CITY UT,-200.00,DEBIT_CARD,9612.73,
DEBIT,04/08/2026,BONNEVILLE ACADEMY LUNCH PROGRAM,-120.00,ACH_DEBIT,8131.34,
DEBIT,04/10/2026,PROGRESSIVE INSURANCE AUTOPAY,-140.00,ACH_DEBIT,9858.70,
DEBIT,04/10/2026,DOORDASH*ORDER SLC UT,-36.29,DEBIT_CARD,9157.49,
DEBIT,04/11/2026,SMITH'S FOOD AND DRUG #0823 SALT LAKE CITY UT,-108.63,DEBIT_CARD,9504.10,
DEBIT,04/12/2026,SUGARHOUSE COUNSELING CENTER,-200.00,DEBIT_CARD,7931.34,
CREDIT,04/15/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,14048.70,
DEBIT,04/18/2026,COSTCO GAS #1234 SLC UT,-44.18,DEBIT_CARD,9193.78,
DEBIT,04/21/2026,TRADER JOE'S #713 SALT LAKE CITY UT,-171.23,DEBIT_CARD,9282.13,
DEBIT,04/21/2026,THE COPPER ONION SALT LAKE CITY UT,-30.61,DEBIT_CARD,9096.34,
DEBIT,04/22/2026,CUBBY'S CHICAGO BEEF SLC UT,-30.54,DEBIT_CARD,9126.95,
DEBIT,04/23/2026,MAVERIK #0412 SALT LAKE CITY UT,-44.17,DEBIT_CARD,9237.96,
DEBIT,04/24/2026,VERIZON WIRELESS AUTOPAY,-85.00,ACH_DEBIT,9011.34,
DEBIT,04/26/2026,ROCKY MOUNTAIN POWER,-240.00,ACH_DEBIT,8771.34,
DEBIT,04/27/2026,COSTCO WHSE #1234 SALT LAKE CITY UT,-50.74,DEBIT_CARD,9453.36,
DEBIT,04/28/2026,MOUNTAIN AMERICA CU AUTO LOAN,-520.00,ACH_DEBIT,8251.34,
