Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,06/01/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,9190.74,
DEBIT,06/01/2026,NETFLIX.COM,-15.99,DEBIT_CARD,9884.75,
DEBIT,06/02/2026,CHASE HOME FINANCE AUTOPAY,-2450.00,ACH_DEBIT,11640.74,
DEBIT,06/02/2026,ZELLE PAYMENT TO CHRISTINE HAYES,-1200.00,ACH_DEBIT,10440.74,
DEBIT,06/03/2026,ZELLE PAYMENT CHILD SUPPORT,-400.00,ACH_DEBIT,10040.74,
DEBIT,06/03/2026,SPOTIFY USA INC,-10.99,DEBIT_CARD,9873.76,
DEBIT,06/04/2026,COSTCO WHSE #1234 SALT LAKE CITY UT,-67.15,DEBIT_CARD,9486.49,
DEBIT,06/05/2026,GOOGLE *YOUTUBE PREMIUM,-13.99,DEBIT_CARD,9859.77,
DEBIT,06/05/2026,STRAVA INC SUBSCRIPTION,-11.99,DEBIT_CARD,9847.78,
DEBIT,06/06/2026,ATLASSIAN TRELLO PREMIUM,-5.00,DEBIT_CARD,9842.78,
DEBIT,06/08/2026,BONNEVILLE ACADEMY LUNCH PROGRAM,-120.00,ACH_DEBIT,8127.37,
DEBIT,06/09/2026,WHOLE FOODS MARKET #10847 SALT LAKE CITY UT,-194.09,DEBIT_CARD,9648.69,
DEBIT,06/10/2026,PROGRESSIVE INSURANCE AUTOPAY,-140.00,ACH_DEBIT,9900.74,
DEBIT,06/10/2026,COSTCO GAS #1234 SLC UT,-45.60,DEBIT_CARD,9202.88,
CREDIT,06/15/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,14090.74,
DEBIT,06/15/2026,DOORDASH*ORDER SLC UT,-48.60,DEBIT_CARD,9154.28,
DEBIT,06/16/2026,SUGARHOUSE COUNSELING CENTER,-200.00,DEBIT_CARD,7927.37,
DEBIT,06/18/2026,SMITH'S FOOD AND DRUG #0823 SALT LAKE CITY UT,-95.05,DEBIT_CARD,9553.64,
DEBIT,06/21/2026,MAVERIK #0412 SALT LAKE CITY UT,-45.60,DEBIT_CARD,9248.48,
DEBIT,06/24/2026,VERIZON WIRELESS AUTOPAY,-85.00,ACH_DEBIT,9015.37,
DEBIT,06/26/2026,CUBBY'S CHICAGO BEEF SLC UT,-53.91,DEBIT_CARD,9100.37,
DEBIT,06/26/2026,ROCKY MOUNTAIN POWER,-248.00,ACH_DEBIT,8767.37,
DEBIT,06/27/2026,TRADER JOE'S #713 SALT LAKE CITY UT,-192.41,DEBIT_CARD,9294.08,
DEBIT,06/28/2026,MOUNTAIN AMERICA CU AUTO LOAN,-520.00,ACH_DEBIT,8247.37,
