Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,09/01/2026,RIDGELINE CLOUD INC PAYROLL DIRECT DEP,4900.00,ACH_CREDIT,8700.00,
DEBIT,09/01/2026,NETFLIX.COM,-15.99,ACH_DEBIT,8684.01,
DEBIT,09/02/2026,CHASE HOME MORTGAGE PMT AUTOPAY,-2450.00,ACH_DEBIT,6234.01,
DEBIT,09/02/2026,ZELLE TRANSFER CHRISTINE HAYES ALIMONY,-1200.00,ACH_DEBIT,5034.01,
DEBIT,09/03/2026,SPOTIFY USA PREMIUM,-10.99,ACH_DEBIT,5023.02,
DEBIT,09/03/2026,ZELLE TRANSFER CHRISTINE HAYES CHILD SUPPORT,-400.00,ACH_DEBIT,4623.02,
DEBIT,09/05/2026,GOOGLE *YOUTUBE PREMIUM,-13.99,ACH_DEBIT,4609.03,
DEBIT,09/05/2026,STRAVA INC,-11.99,ACH_DEBIT,4597.04,
DEBIT,09/06/2026,ATLASSIAN TRELLO PREMIUM,-5.00,ACH_DEBIT,4592.04,
DEBIT,09/07/2026,AMAZON.COM *1A2B3C AMZN.COM/BILL,-47.82,ACH_DEBIT,4544.22,
DEBIT,09/08/2026,BONNEVILLE ACADEMY LUNCH PROGRAM,-120.00,ACH_DEBIT,4424.22,
DEBIT,09/09/2026,SMITH'S FOOD AND DRUG #0823 SLC UT,-96.40,DEBIT_CARD,4327.82,
DEBIT,09/10/2026,PROGRESSIVE INSURANCE AUTOPAY,-140.00,ACH_DEBIT,4187.82,
DEBIT,09/11/2026,WHOLE FOODS MARKET #10847 SALT LAKE CITY UT,-168.92,DEBIT_CARD,4018.90,
DEBIT,09/12/2026,CVS/PHARMACY #04521 SALT LAKE CITY UT,-23.45,DEBIT_CARD,3995.45,
DEBIT,09/14/2026,DOORDASH*CUBBYS SLC UT,-88.30,DEBIT_CARD,3907.15,
CREDIT,09/15/2026,RIDGELINE CLOUD INC PAYROLL DIRECT DEP,4900.00,ACH_CREDIT,8807.15,
