sheet_id,cell,value,note
sheet_field_log,A1,Site,header
sheet_field_log,B1,Time,header
sheet_field_log,C1,pH,header
sheet_field_log,D1,Conductivity_uScm,header
sheet_field_log,E1,Turbidity_NTU,header
sheet_field_log,F1,DO_mgL,header
sheet_field_log,G1,Nitrate_mgL,header
sheet_field_log,H1,Notes,header
sheet_field_log,A2,1,
sheet_field_log,B2,10:08,
sheet_field_log,C2,7.4,
sheet_field_log,D2,612,
sheet_field_log,E2,3.2,
sheet_field_log,F2,8.1,
sheet_field_log,G2,0.9,
sheet_field_log,H2,Clean cobble run; no obvious discharge,
sheet_field_log,A3,2,
sheet_field_log,B3,10:55,
sheet_field_log,C3,7.5,
sheet_field_log,D3,598,
sheet_field_log,E3,2.8,
sheet_field_log,F3,8.3,
sheet_field_log,G3,0.8,
sheet_field_log,H3,,
sheet_field_log,A4,3,
sheet_field_log,B4,11:22,
sheet_field_log,C4,7.6,
sheet_field_log,D4,631,
sheet_field_log,E4,4.1,
sheet_field_log,F4,7.9,
sheet_field_log,G4,1.1,
sheet_field_log,H4,,
sheet_field_log,A5,4,
sheet_field_log,B5,14:02,
sheet_field_log,C5,7.5,
sheet_field_log,D5,644,
sheet_field_log,E5,5.6,
sheet_field_log,F5,7.7,
sheet_field_log,G5,1.4,
sheet_field_log,H5,,
sheet_field_log,A6,5,
sheet_field_log,B6,14:33,
sheet_field_log,C6,7.4,
sheet_field_log,D6,658,
sheet_field_log,E6,6.0,
sheet_field_log,F6,7.6,
sheet_field_log,G6,1.6,
sheet_field_log,H6,,
sheet_field_log,A7,6,
sheet_field_log,B7,15:04,
sheet_field_log,C7,7.3,
sheet_field_log,D7,671,
sheet_field_log,E7,6.8,
sheet_field_log,F7,7.4,
sheet_field_log,G7,1.9,
sheet_field_log,H7,,
sheet_volunteer_avail,A1,Coordinator,header
sheet_volunteer_avail,B1,Thu_Oct15_AM,header
sheet_volunteer_avail,C1,Thu_Oct15_PM,header
sheet_volunteer_avail,D1,Fri_Oct16_AM,header
