Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,08/01/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,8485.39,
DEBIT,08/01/2026,NETFLIX.COM,-15.99,DEBIT_CARD,9179.40,
DEBIT,08/02/2026,CHASE HOME FINANCE AUTOPAY,-2450.00,ACH_DEBIT,10935.39,
DEBIT,08/02/2026,ZELLE PAYMENT TO CHRISTINE HAYES,-1200.00,ACH_DEBIT,9735.39,
DEBIT,08/03/2026,ZELLE PAYMENT CHILD SUPPORT,-400.00,ACH_DEBIT,9335.39,
DEBIT,08/03/2026,SPOTIFY USA INC,-10.99,DEBIT_CARD,9168.41,
DEBIT,08/05/2026,GOOGLE *YOUTUBE PREMIUM,-13.99,DEBIT_CARD,9154.42,
DEBIT,08/05/2026,STRAVA INC SUBSCRIPTION,-11.99,DEBIT_CARD,9142.43,
DEBIT,08/06/2026,ATLASSIAN TRELLO PREMIUM,-5.00,DEBIT_CARD,9137.43,
DEBIT,08/06/2026,WHOLE FOODS MARKET #10847 SALT LAKE CITY UT,-122.71,DEBIT_CARD,9014.72,
DEBIT,08/08/2026,BONNEVILLE ACADEMY LUNCH PROGRAM,-120.00,ACH_DEBIT,7406.21,
DEBIT,08/09/2026,MAVERIK #0412 SALT LAKE CITY UT,-88.60,DEBIT_CARD,8483.68,
DEBIT,08/10/2026,PROGRESSIVE INSURANCE AUTOPAY,-140.00,ACH_DEBIT,9195.39,
CREDIT,08/15/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,13385.39,
DEBIT,08/16/2026,SUGARHOUSE COUNSELING CENTER,-200.00,DEBIT_CARD,7206.21,
DEBIT,08/19/2026,THE COPPER ONION SALT LAKE CITY UT,-37.28,DEBIT_CARD,8374.21,
DEBIT,08/21/2026,COSTCO WHSE #1234 SALT LAKE CITY UT,-310.95,DEBIT_CARD,8572.28,
DEBIT,08/22/2026,DOORDASH*ORDER SLC UT,-53.57,DEBIT_CARD,8430.11,
DEBIT,08/24/2026,VERIZON WIRELESS AUTOPAY,-85.00,ACH_DEBIT,8289.21,
DEBIT,08/25/2026,CUBBY'S CHICAGO BEEF SLC UT,-18.62,DEBIT_CARD,8411.49,
DEBIT,08/26/2026,ROCKY MOUNTAIN POWER,-243.00,ACH_DEBIT,8046.21,
DEBIT,08/28/2026,SMITH'S FOOD AND DRUG #0823 SALT LAKE CITY UT,-131.49,DEBIT_CARD,8883.23,
DEBIT,08/28/2026,MOUNTAIN AMERICA CU AUTO LOAN,-520.00,ACH_DEBIT,7526.21,
