Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,02/01/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,8708.20,
DEBIT,02/01/2026,NETFLIX.COM,-15.99,DEBIT_CARD,9402.21,
DEBIT,02/02/2026,CHASE HOME FINANCE AUTOPAY,-2450.00,ACH_DEBIT,11158.20,
DEBIT,02/02/2026,ZELLE PAYMENT TO CHRISTINE HAYES,-1200.00,ACH_DEBIT,9958.20,
DEBIT,02/03/2026,ZELLE PAYMENT CHILD SUPPORT,-400.00,ACH_DEBIT,9558.20,
DEBIT,02/03/2026,SPOTIFY USA INC,-10.99,DEBIT_CARD,9391.22,
DEBIT,02/05/2026,GOOGLE *YOUTUBE PREMIUM,-13.99,DEBIT_CARD,9377.23,
DEBIT,02/06/2026,ATLASSIAN TRELLO PREMIUM,-5.00,DEBIT_CARD,9372.23,
DEBIT,02/08/2026,BONNEVILLE ACADEMY LUNCH PROGRAM,-120.00,ACH_DEBIT,7732.45,
DEBIT,02/10/2026,PROGRESSIVE INSURANCE AUTOPAY,-140.00,ACH_DEBIT,9418.20,
DEBIT,02/10/2026,WHOLE FOODS MARKET #10847 SALT LAKE CITY UT,-162.96,DEBIT_CARD,9209.27,
DEBIT,02/11/2026,CUBBY'S CHICAGO BEEF SLC UT,-55.27,DEBIT_CARD,8698.45,
DEBIT,02/12/2026,COSTCO WHSE #1234 SALT LAKE CITY UT,-66.78,DEBIT_CARD,9050.99,
DEBIT,02/13/2026,DOORDASH*ORDER SLC UT,-37.91,DEBIT_CARD,8753.72,
CREDIT,02/15/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,13608.20,
DEBIT,02/24/2026,MAVERIK #0412 SALT LAKE CITY UT,-82.45,DEBIT_CARD,8791.63,
DEBIT,02/24/2026,VERIZON WIRELESS AUTOPAY,-85.00,ACH_DEBIT,8613.45,
DEBIT,02/24/2026,SUGARHOUSE COUNSELING CENTER,-200.00,DEBIT_CARD,7532.45,
DEBIT,02/25/2026,SMITH'S FOOD AND DRUG #0823 SALT LAKE CITY UT,-91.50,DEBIT_CARD,9117.77,
DEBIT,02/26/2026,TRADER JOE'S #713 SALT LAKE CITY UT,-176.91,DEBIT_CARD,8874.08,
DEBIT,02/26/2026,ROCKY MOUNTAIN POWER,-241.00,ACH_DEBIT,8372.45,
DEBIT,02/28/2026,MOUNTAIN AMERICA CU AUTO LOAN,-520.00,ACH_DEBIT,7852.45,
