Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,01/01/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,8957.96,
DEBIT,01/01/2026,NETFLIX.COM,-15.99,DEBIT_CARD,9651.97,
DEBIT,01/02/2026,CHASE HOME FINANCE AUTOPAY,-2450.00,ACH_DEBIT,11407.96,
DEBIT,01/02/2026,ZELLE PAYMENT TO CHRISTINE HAYES,-1200.00,ACH_DEBIT,10207.96,
DEBIT,01/03/2026,ZELLE PAYMENT CHILD SUPPORT,-400.00,ACH_DEBIT,9807.96,
DEBIT,01/03/2026,SPOTIFY USA INC,-10.99,DEBIT_CARD,9640.98,
DEBIT,01/05/2026,GOOGLE *YOUTUBE PREMIUM,-13.99,DEBIT_CARD,9626.99,
DEBIT,01/06/2026,ATLASSIAN TRELLO PREMIUM,-5.00,DEBIT_CARD,9621.99,
DEBIT,01/06/2026,MAVERIK #0412 SALT LAKE CITY UT,-78.20,DEBIT_CARD,9031.45,
DEBIT,01/08/2026,DOORDASH*ORDER SLC UT,-38.90,DEBIT_CARD,8992.55,
DEBIT,01/08/2026,BONNEVILLE ACADEMY LUNCH PROGRAM,-120.00,ACH_DEBIT,7982.89,
DEBIT,01/10/2026,PROGRESSIVE INSURANCE AUTOPAY,-140.00,ACH_DEBIT,9667.96,
DEBIT,01/10/2026,COSTCO WHSE #1234 SALT LAKE CITY UT,-97.03,DEBIT_CARD,9310.50,
DEBIT,01/13/2026,CUBBY'S CHICAGO BEEF SLC UT,-46.66,DEBIT_CARD,8945.89,
DEBIT,01/13/2026,SUGARHOUSE COUNSELING CENTER,-200.00,DEBIT_CARD,7782.89,
CREDIT,01/15/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,13857.96,
DEBIT,01/15/2026,WHOLE FOODS MARKET #10847 SALT LAKE CITY UT,-110.54,DEBIT_CARD,9511.45,
DEBIT,01/22/2026,SMITH'S FOOD AND DRUG #0823 SALT LAKE CITY UT,-103.92,DEBIT_CARD,9407.53,
DEBIT,01/24/2026,VERIZON WIRELESS AUTOPAY,-85.00,ACH_DEBIT,8860.89,
DEBIT,01/26/2026,TRADER JOE'S #713 SALT LAKE CITY UT,-200.85,DEBIT_CARD,9109.65,
DEBIT,01/26/2026,ROCKY MOUNTAIN POWER,-238.00,ACH_DEBIT,8622.89,
DEBIT,01/28/2026,MOUNTAIN AMERICA CU AUTO LOAN,-520.00,ACH_DEBIT,8102.89,
