Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,07/01/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,8344.54,
DEBIT,07/01/2026,NETFLIX.COM,-15.99,DEBIT_CARD,9038.55,
DEBIT,07/02/2026,CHASE HOME FINANCE AUTOPAY,-2450.00,ACH_DEBIT,10794.54,
DEBIT,07/02/2026,ZELLE PAYMENT TO CHRISTINE HAYES,-1200.00,ACH_DEBIT,9594.54,
DEBIT,07/03/2026,ZELLE PAYMENT CHILD SUPPORT,-400.00,ACH_DEBIT,9194.54,
DEBIT,07/03/2026,SPOTIFY USA INC,-10.99,DEBIT_CARD,9027.56,
DEBIT,07/04/2026,SMITH'S FOOD AND DRUG #0823 SALT LAKE CITY UT,-137.98,DEBIT_CARD,8686.07,
DEBIT,07/05/2026,GOOGLE *YOUTUBE PREMIUM,-13.99,DEBIT_CARD,9013.57,
DEBIT,07/05/2026,STRAVA INC SUBSCRIPTION,-11.99,DEBIT_CARD,9001.58,
DEBIT,07/05/2026,COSTCO GAS #1234 SLC UT,-47.75,DEBIT_CARD,8340.68,
DEBIT,07/06/2026,ATLASSIAN TRELLO PREMIUM,-5.00,DEBIT_CARD,8996.58,
DEBIT,07/08/2026,BONNEVILLE ACADEMY LUNCH PROGRAM,-120.00,ACH_DEBIT,7260.50,
DEBIT,07/10/2026,PROGRESSIVE INSURANCE AUTOPAY,-140.00,ACH_DEBIT,9054.54,
DEBIT,07/11/2026,SUGARHOUSE COUNSELING CENTER,-200.00,DEBIT_CARD,7060.50,
DEBIT,07/13/2026,CUBBY'S CHICAGO BEEF SLC UT,-54.08,DEBIT_CARD,8235.50,
CREDIT,07/15/2026,RIDGELINE CLOUD INC DIRECT DEP,4900.00,ACH_CREDIT,13244.54,
DEBIT,07/15/2026,DOORDASH*ORDER SLC UT,-51.10,DEBIT_CARD,8289.58,
DEBIT,07/20/2026,WHOLE FOODS MARKET #10847 SALT LAKE CITY UT,-172.53,DEBIT_CARD,8824.05,
DEBIT,07/20/2026,MAVERIK #0412 SALT LAKE CITY UT,-47.75,DEBIT_CARD,8388.43,
DEBIT,07/23/2026,COSTCO WHSE #1234 SALT LAKE CITY UT,-249.89,DEBIT_CARD,8436.18,
DEBIT,07/24/2026,VERIZON WIRELESS AUTOPAY,-85.00,ACH_DEBIT,8150.50,
DEBIT,07/26/2026,ROCKY MOUNTAIN POWER,-250.00,ACH_DEBIT,7900.50,
DEBIT,07/28/2026,MOUNTAIN AMERICA CU AUTO LOAN,-520.00,ACH_DEBIT,7380.50,
